"filename", "language", "Python", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\README.md", "Markdown", 0, -3, 0, 0, -3, -6
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\ahk_workspace_manager\config.py", "Python", -8, 0, 0, 0, -3, -11
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\ahk_workspace_manager\process_manager.py", "Python", 59, 0, 0, 0, 4, 63
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\ahk_workspace_manager\taskbar_manager.py", "Python", -123, 0, 0, 0, -32, -155
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\ahk_workspace_manager\tray_monitor.py", "Python", 328, 0, 0, 0, 53, 381
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\ahk_workspace_manager\ui.py", "Python", -175, 0, 0, -14, -25, -214
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\main.py", "Python", 0, 0, 0, 0, -1, -1
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\tests\test_config.py", "Python", 7, 0, 0, 8, 3, 18
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\tests\test_process_manager.py", "Python", 68, 0, 0, 0, 23, 91
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\tests\test_process_row.py", "Python", 21, 0, 0, 0, 11, 32
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\tests\test_taskbar_manager.py", "Python", -31, 0, 0, 0, -20, -51
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\tests\test_taskbar_surface.py", "Python", -60, 0, 0, 0, -25, -85
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\tests\test_tray_monitor.py", "Python", 86, 0, 0, 0, 22, 108
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\tests\test_tray_surface.py", "Python", 7, 0, 0, 0, 8, 15
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\workspace_manager.json", "JSON", 0, 0, -16, 0, 0, -16
"Total", "-", 179, -3, -16, -6, 15, 169